Price_Ticker,Close_AAPL,Close_AMZN,Close_BA,Close_CAT,Close_CVX,Close_GOOGL,Close_GS,Close_JNJ,Close_JPM,Close_KO,Close_MCD,Close_MSFT,Close_NKE,Close_NVDA,Close_PFE,Close_SOFI,Close_TSLA,Close_UNH,Close_WMT,Close_XOM,Dividends_AAPL,Dividends_AMZN,Dividends_BA,Dividends_CAT,Dividends_CVX,Dividends_GOOGL,Dividends_GS,Dividends_JNJ,Dividends_JPM,Dividends_KO,Dividends_MCD,Dividends_MSFT,Dividends_NKE,Dividends_NVDA,Dividends_PFE,Dividends_SOFI,Dividends_TSLA,Dividends_UNH,Dividends_WMT,Dividends_XOM,High_AAPL,High_AMZN,High_BA,High_CAT,High_CVX,High_GOOGL,High_GS,High_JNJ,High_JPM,High_KO,High_MCD,High_MSFT,High_NKE,High_NVDA,High_PFE,High_SOFI,High_TSLA,High_UNH,High_WMT,High_XOM,Low_AAPL,Low_AMZN,Low_BA,Low_CAT,Low_CVX,Low_GOOGL,Low_GS,Low_JNJ,Low_JPM,Low_KO,Low_MCD,Low_MSFT,Low_NKE,Low_NVDA,Low_PFE,Low_SOFI,Low_TSLA,Low_UNH,Low_WMT,Low_XOM,Open_AAPL,Open_AMZN,Open_BA,Open_CAT,Open_CVX,Open_GOOGL,Open_GS,Open_JNJ,Open_JPM,Open_KO,Open_MCD,Open_MSFT,Open_NKE,Open_NVDA,Open_PFE,Open_SOFI,Open_TSLA,Open_UNH,Open_WMT,Open_XOM,Stock Splits_AAPL,Stock Splits_AMZN,Stock Splits_BA,Stock Splits_CAT,Stock Splits_CVX,Stock Splits_GOOGL,Stock Splits_GS,Stock Splits_JNJ,Stock Splits_JPM,Stock Splits_KO,Stock Splits_MCD,Stock Splits_MSFT,Stock Splits_NKE,Stock Splits_NVDA,Stock Splits_PFE,Stock Splits_SOFI,Stock Splits_TSLA,Stock Splits_UNH,Stock Splits_WMT,Stock Splits_XOM,Volume_AAPL,Volume_AMZN,Volume_BA,Volume_CAT,Volume_CVX,Volume_GOOGL,Volume_GS,Volume_JNJ,Volume_JPM,Volume_KO,Volume_MCD,Volume_MSFT,Volume_NKE,Volume_NVDA,Volume_PFE,Volume_SOFI,Volume_TSLA,Volume_UNH,Volume_WMT,Volume_XOM
2024-01-22,192.9447479,154.7799988,214.9299927,284.3869019,136.6049042,145.4626923,376.8315735,157.4842072,166.308197,57.80455399,291.3495789,393.5669556,98.86410522,59.63709641,26.67917252,7.920000076,208.8000031,505.0820313,53.48887634,93.62627411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.3777301,157.0500031,217.0,286.2783972,136.7678811,147.8540174,383.4414739,158.5601446,168.1363995,58.28973574,295.2354222,397.646435,100.0930246,60.31390653,26.97131594,8.329999924,217.8000031,505.6531071,53.67333004,93.89703679,191.3226896,153.8999939,212.3600006,281.8550268,135.0997411,145.3132249,375.4646911,156.3888793,165.9171426,57.67840569,290.695418,390.6686156,98.40203033,59.05326225,26.3210636,7.71999979,206.2700043,488.8462412,53.19572113,92.61090669,191.3625031,156.8899994,213.0700073,281.8550268,136.0488575,146.5686836,377.222107,157.0286291,166.6503808,57.98892172,293.8294904,397.0508824,100.0340389,60.03198494,26.68859667,7.829999924,212.2599945,496.1715529,53.62062844,93.5102298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60133900.0,43687500.0,10760800.0,2072200.0,9184600.0,32200400.0,2922700.0,6824200.0,12837500.0,14314300.0,3250200.0,27016900.0,9897400.0,452955000.0,41663900.0,69046700.0,117952500.0,5922900.0,13938300.0,19955900.0
2024-01-23,194.2284546,156.0200043,211.5,284.5444946,136.2214203,146.5088959,371.7643433,154.905838,165.2132263,58.07625198,292.9507751,395.9391785,100.1815109,59.85603333,26.79226112,7.75,209.1399994,507.5730591,53.62392426,94.68032837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.795683,156.2100067,216.8500061,288.5344211,137.4102113,146.6483896,374.2930832,155.5843538,165.9562356,58.22180798,293.1069931,396.4156266,100.4174613,59.89302159,26.99958715,8.140000343,215.6499939,510.0935932,53.64039327,95.25086299,192.8850452,153.9299927,211.1300049,283.2539341,136.0392653,144.9744649,369.6749722,152.0948375,164.6755154,57.69781082,290.0998793,391.0060668,99.52281193,58.56839633,26.52839016,7.730000019,207.75,504.1860857,53.28465656,93.53925175,194.0692462,154.8500061,215.3500061,286.1897294,136.1255592,145.3630557,370.9930491,154.760447,165.8780218,57.76573597,290.4025423,392.8125652,99.91606013,59.55311779,26.80168528,8.100000381,211.3000031,504.5995944,53.39994342,93.61660725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42355600.0,37986000.0,9076900.0,1866300.0,6767200.0,21636100.0,3313300.0,9149800.0,8360800.0,14481600.0,1874000.0,20525900.0,8208000.0,294654000.0,33466700.0,45600700.0,106605900.0,2672900.0,12066600.0,15863400.0
2024-01-24,193.5517731,156.8699951,214.1300049,286.3670654,138.9345398,148.1629028,370.4267578,154.0819397,166.6894531,57.16411972,293.3315735,399.572052,99.06073761,61.34460831,26.69801903,7.559999943,207.8300018,505.3183289,52.86633682,96.3145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.4226125,158.5099945,217.5899963,288.2684221,138.9920593,149.3087582,375.5135271,155.6716118,167.1880496,58.03744844,294.8937233,402.6192726,100.0831995,62.83118637,27.122097,7.940000057,212.7299957,513.6872979,53.71285688,96.36292884,193.3925495,156.4799957,209.3600006,284.0617885,136.3460576,147.5650791,370.2119599,153.3064866,165.0861065,57.144712,292.2283046,397.4777277,98.99191842,59.92101211,26.69801903,7.53000021,206.7700043,505.0426764,52.80704612,94.5159289,194.4672861,157.8000031,209.8300018,286.5246951,136.8062286,148.0034771,372.7797622,154.8476902,165.5749319,58.02774274,292.9019815,398.5596337,100.0635325,60.28690951,26.89592268,7.889999866,211.8800049,509.9163822,53.65686073,95.07679868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53631300.0,48547300.0,15119100.0,2765900.0,8100000.0,25233500.0,2235800.0,7247900.0,9967100.0,16370500.0,3209700.0,24867000.0,7879300.0,560271000.0,42720700.0,41431000.0,123369900.0,2918800.0,22932900.0,17330600.0
2024-01-25,193.2233887,157.75,201.8800049,296.307312,142.4338074,151.3214417,373.6487122,154.6634979,169.0749512,57.40670776,290.177948,401.8648987,99.07056427,61.59953308,26.27712822,7.650000095,182.6300049,485.7940369,53.63709641,98.76111603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,195.3131569,158.5099945,208.7299957,298.8096332,142.5488465,152.4971874,377.5638507,154.7216543,169.1238367,57.41640977,294.1809472,403.9890293,100.0242069,62.70122187,26.70758792,7.75,193.0,487.871526,53.64698007,98.80946967,192.1685588,154.5500031,198.3200073,288.7806862,139.2317441,148.9998558,372.9750291,153.6069509,167.090321,56.92152599,289.0844522,399.5422707,98.40203181,60.83274841,26.2579981,7.550000191,180.0599976,471.6160246,52.83998339,96.33391672,194.2682728,156.9499969,208.1999969,289.6377728,140.1808606,149.5279554,373.6389391,154.1206853,168.4590263,57.26115175,293.6244264,401.3189931,99.81774937,62.33232318,26.61193001,7.659999847,189.6999969,480.0736027,53.16278207,97.00115122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54822100.0,43638600.0,22112500.0,4647100.0,9773600.0,29149100.0,2376300.0,5478900.0,8873500.0,14899700.0,3219600.0,21021200.0,10063700.0,482777000.0,47605500.0,49509400.0,198076800.0,14671000.0,16369500.0,22089500.0
2024-01-26,191.4819183,159.1199951,205.4700012,294.9872131,142.9802399,151.6402893,368.8548584,154.6053467,168.4296875,57.61048126,285.3450928,400.9318237,101.0171738,61.01370239,26.27712822,7.619999886,183.25,495.4429626,54.10811996,99.60242462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.8105068,160.7200012,206.75,298.4845582,143.095279,151.989016,371.8912892,155.8072995,169.192254,57.72692755,288.9770782,403.1552179,101.5284009,61.765492,26.69802195,7.829999924,186.7799988,495.9253995,54.14434878,99.6797875,191.0042627,157.9100037,203.0,294.2286488,140.9094484,150.4645436,367.8394472,154.4696435,167.9408621,57.37759609,284.7983448,399.4429575,99.51297764,60.55583582,26.17190616,7.519999981,182.1000061,482.34797,53.57780948,97.85213195,193.3229053,158.4199982,203.0800018,296.5339255,141.9160843,150.5542301,369.6945041,155.5068002,168.7523141,57.49403868,288.3424335,401.3685603,99.85707356,60.94272337,26.43018015,7.690000057,185.5,485.6758706,53.70626702,98.60640156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44594000.0,51047400.0,9911200.0,2920500.0,9151900.0,26115500.0,3464700.0,5591900.0,7443000.0,13025100.0,4210500.0,17803300.0,9735800.0,390309000.0,47073800.0,72566000.0,107343200.0,6212200.0,15746400.0,20817200.0
2024-01-29,190.7952881,161.2599945,205.1900024,298.7505493,142.9227448,152.9555054,371.5593262,154.4696503,168.8696442,57.95981598,285.3938904,406.678894,102.1281128,62.44729614,26.28669357,9.159999847,190.9299927,496.7622986,54.36174393,99.72812653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.262998,161.2899933,207.0399933,299.1938845,143.0569619,153.2245344,371.8327027,155.1578687,168.9771864,58.01803913,285.8332552,406.9369739,102.2559252,62.4712876,26.43017953,9.449999809,191.4799957,498.7019314,54.48361612,99.79581719,188.6557757,158.8999939,203.8500061,293.0366184,141.0341079,150.8830167,365.3887941,154.0819312,167.4716105,57.41641104,281.4885311,401.3288863,99.63094773,60.88973906,26.12407567,8.619999886,183.6699982,493.4245425,53.86108068,98.5000223,191.0739218,159.3399963,206.0599976,294.5833008,142.9323265,151.5107459,366.9997936,154.130385,168.3906047,57.58137478,284.7397594,403.0460564,101.1449773,61.21464389,26.32495747,8.819999695,185.6300049,495.3543198,54.13446854,99.58308036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47145600.0,45270400.0,7535400.0,2101400.0,10494800.0,27784300.0,1632300.0,6483200.0,6971200.0,14547100.0,3899700.0,24510200.0,8860800.0,348733000.0,67082700.0,286380900.0,125013100.0,4554100.0,18240300.0,18317500.0
2024-01-30,187.1232758,159.0,200.4400024,300.2381592,143.9197693,150.9129333,377.7200928,153.8977509,172.3305359,58.12477493,287.6784973,405.5572815,102.4230576,62.7562027,25.84666824,8.399999619,191.5899963,495.8465576,54.5429039,101.3913956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.864955,161.7299957,203.9799957,301.1937681,144.1019243,153.0651199,378.745277,154.8573608,172.8095753,58.24121752,287.9421281,409.9841691,102.5508625,63.47500064,27.13804542,9.399999619,196.3600006,498.2489461,54.61536906,101.4204048,186.5560625,158.4900055,199.1399994,296.0512182,141.6093177,150.6439043,372.5649718,153.2773914,168.9674143,57.68811062,283.3338034,403.4331812,101.3907623,62.24234847,25.77970826,8.380000114,190.6100006,491.5242475,53.89401581,98.73210762,190.009147,160.6999969,203.6499939,296.0512182,142.0598924,152.2480896,374.9179762,154.4599539,168.9674143,58.0762538,285.2279048,409.2000546,101.5972198,62.88217024,26.67888784,9.029999733,195.3300018,496.762244,54.24975248,99.03188691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55859400.0,45207400.0,13321200.0,2150200.0,9902900.0,36331800.0,3897900.0,7200500.0,10822100.0,22061500.0,2524200.0,33477600.0,7542800.0,410735000.0,86072400.0,119356000.0,109982300.0,4931200.0,15270000.0,19610900.0
2024-01-31,183.5010223,155.1999969,211.0399933,295.8541565,141.3408661,139.5939636,374.9277344,154.0237427,170.4632111,57.72692871,285.79422,394.6290283,99.81775665,61.50955963,25.90406418,7.829999924,187.2899933,503.8512573,54.4309082,99.41868591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.1878717,159.0099945,213.7700043,301.2134431,144.1690374,143.4798707,384.5935821,155.6909613,174.315158,58.65847682,290.4025455,412.2373773,102.5410465,62.25134988,26.31539193,8.340000153,193.9700012,507.0610124,55.2708428,101.4204042,183.4512782,154.8099976,203.25,295.4797899,141.2545868,139.3647834,374.6250686,153.800805,170.4436539,57.53285526,284.7495291,394.2617794,99.41467496,60.68279439,25.61709226,7.809999943,185.8500061,496.7327307,54.38479573,99.38000448,186.1281514,157.0,204.9199982,301.036121,144.1594411,143.1012384,376.8706591,155.4777114,172.2620851,58.31884736,288.8989737,403.939412,102.3345814,61.42258249,25.99015612,8.090000153,187.0,496.7327307,55.2708428,101.2850228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55467800.0,50284400.0,22409400.0,2813000.0,10428000.0,71910000.0,3421100.0,8256800.0,11521800.0,22837000.0,3476200.0,47871100.0,11547600.0,453795000.0,81192100.0,110241400.0,103221400.0,5358100.0,26134800.0,22415300.0
2024-02-01,185.9490356,159.2799988,209.8099976,303.1246643,141.7818604,140.6501465,374.7715149,153.5003357,169.8472748,59.17277145,291.0273438,400.782959,100.0438766,63.0091362,26.10494614,7.730000019,188.8600006,499.3222046,55.43883514,99.0125351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0385932,159.7599945,214.6300049,303.4990309,142.8651939,142.5432778,380.3269423,153.6263511,170.9324678,59.20188118,291.0761786,404.9716374,100.525611,63.17309118,26.14320821,7.960000038,189.8800049,502.3547117,55.45201337,100.5791,182.9238627,155.6199951,206.8099976,297.4599797,140.4684486,140.2814726,369.8409353,152.2305386,167.5986749,57.60078347,283.4119055,398.8176445,98.91326925,61.63252759,25.56926255,7.570000172,184.2799988,495.2460103,54.40786139,98.26793777,183.0930321,155.8699951,213.8399963,298.740679,142.0694727,141.6066705,375.3377841,153.3064761,169.7592898,57.80455894,284.7983211,398.8474207,100.181515,62.08239699,25.92319628,7.929999828,188.5,500.9861248,54.57914063,100.1536116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64885400.0,76542400.0,10679200.0,3196300.0,8641100.0,40466500.0,2138500.0,8012000.0,9354800.0,15870900.0,3380600.0,30657700.0,7666700.0,369146000.0,53883000.0,76525400.0,91843300.0,4242600.0,20792700.0,19240700.0
2024-02-02,184.9439545,171.8099976,209.3800049,310.414856,145.9522095,141.8657379,378.686676,151.8040466,170.8249359,58.74581146,290.021759,408.1677551,99.01157379,66.14125061,25.76057625,7.880000114,187.9100037,502.3645935,55.85386276,98.60639191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.416735,172.5,209.5399933,312.6610253,147.0451248,142.1048613,379.5458678,153.4518751,171.8905867,59.06602952,291.1152848,409.5871338,99.69977313,66.58112071,26.01885205,7.949999809,188.6900024,505.0032429,56.18654134,100.5694286,178.3761246,167.3300018,206.3500061,301.4597322,143.3733091,136.0069712,371.5984032,151.154609,169.3877879,58.44499742,286.4093192,400.5646072,97.75316157,63.6719457,25.53099837,7.46999979,182.0,497.5992078,55.31037404,98.25826637,178.9831513,169.1900024,209.0599976,302.4448947,144.6292014,138.7569968,372.770004,153.1223124,169.4269023,59.01751208,289.064965,400.8127516,99.17870502,63.95586559,25.9997201,7.579999924,185.0399933,500.4151052,55.38613376,100.3276752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102518000.0,117154900.0,6271200.0,4658800.0,12838400.0,62470600.0,2180900.0,8295500.0,8607600.0,17543500.0,3969400.0,28245000.0,8961200.0,476578000.0,51663800.0,53205100.0,110505100.0,3804500.0,21670800.0,21968200.0
2024-02-05,186.7650299,170.3099976,206.6300049,316.6312561,146.0385132,143.161026,373.9611511,151.0188904,170.6000824,58.26062775,279.2038879,402.6391296,97.99895477,69.31235504,25.41620827,7.579999924,181.0599976,495.206665,55.55412292,98.20025635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.3273833,170.5500031,207.3399963,329.9013976,147.1697702,144.9445691,376.2165147,152.0754375,171.1768928,58.5905515,284.5444677,408.1082423,98.89360425,69.4773092,25.77014197,7.760000229,184.6799927,506.2734164,55.99879004,99.00287221,184.9340038,167.6999969,202.0,311.222723,144.5621096,142.2642828,371.988937,150.5730001,169.0553922,58.10536973,276.6263366,400.9914471,97.37958206,67.18595884,25.36838023,7.449999809,175.0099945,492.3415202,55.35978556,97.18488889,187.2327398,170.1999969,204.6399994,329.9013976,145.357831,142.3041469,375.5037991,151.8040311,169.9743864,58.5905515,280.2192897,406.8575848,98.80512565,68.20566646,25.77014197,7.699999809,184.2599945,502.0987573,55.99879004,98.10354906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69668800.0,55081300.0,8682500.0,6557500.0,8277800.0,38505400.0,2231100.0,9121600.0,7820200.0,12759600.0,7581900.0,25352300.0,10097900.0,680078000.0,42633400.0,42003000.0,134294400.0,3646300.0,19145100.0,17190900.0
2024-02-06,188.3771362,169.1499939,208.5800018,317.9316406,146.0576782,143.5795288,375.884552,153.2095184,171.1866608,58.16358948,277.9151611,402.4802856,100.8795395,68.20366669,26.30582428,7.800000191,185.1000061,502.7977905,55.9329071,98.87715912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.387082,170.7100067,210.6399994,322.5717475,147.1985168,144.8349723,377.6712872,153.858956,171.9394411,58.27033006,277.9444501,404.941889,100.8991989,69.73423107,26.52583619,7.880000114,186.4900055,503.0636175,55.97902335,99.64110089,185.8594716,167.6499939,203.8899994,314.3358035,145.539973,142.672812,373.9416272,150.8250182,169.8765974,57.91129658,274.8787582,399.9194487,97.45822447,66.2812151,25.41620884,7.53000021,177.1100006,494.7045046,55.44871291,98.21958945,185.9490292,169.3899994,206.0200043,318.3946682,146.2014771,144.1275301,373.9611435,151.0479559,170.7076065,58.18299719,276.2749172,402.8674055,97.82198733,69.61026566,25.50230077,7.590000153,177.2100067,496.1715259,55.59693401,98.70309634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43490800.0,42505500.0,7556900.0,2825700.0,6198200.0,29128200.0,1487800.0,9229900.0,6764800.0,12775200.0,5927200.0,18382600.0,11368600.0,683111000.0,56958700.0,44063700.0,122676000.0,2745400.0,14181300.0,13347900.0
2024-02-07,188.486618,170.5299988,211.9199982,318.7887268,145.846756,145.0143127,377.5150452,153.1320038,171.5092773,58.21210861,280.5317078,410.9767456,102.0396423,70.07912445,26.36321831,7.659999847,187.5800018,511.3834534,55.79127884,98.84814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.1186223,170.8800049,213.7700043,322.955975,147.4286021,145.0940256,377.9153518,154.4793477,171.9394461,58.42558607,283.6560071,411.22489,102.5803624,70.20009234,26.44931024,7.829999924,189.7899933,512.9686203,56.2128916,99.3413236,187.6905151,168.9400024,207.9900055,316.3356818,144.9263993,143.4101273,373.4534304,152.8509096,170.0721444,58.16358748,277.3878923,404.3761106,100.6239247,67.58083242,26.11450848,7.570000172,182.6799927,504.786724,55.7319919,97.84244937,189.7106175,169.4799957,208.7599945,318.1483772,146.6999968,144.2371313,376.1969683,152.9575346,171.7634761,58.28973577,278.3056542,404.4158222,100.663251,68.29963034,26.35365233,7.820000172,188.1799927,506.086383,56.08443406,98.87715376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53439000.0,47174100.0,7747700.0,3203000.0,6252000.0,25208900.0,1963200.0,8690300.0,7225500.0,10259900.0,3954700.0,22340500.0,9447800.0,495575000.0,36843000.0,37544900.0,111535200.0,4109100.0,17082600.0,13826800.0
